unit: cm^{-1}, only max(dg)>1.000e-04 are saved; dg/dQ_alpha * Q_alpha 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
  8.0000000e-05   8.5000000e-05   3.3000000e-04 
 -8.0000000e-05  -1.0000000e-05  -1.3500000e-04 
  2.0000000e-04  -1.1500000e-04  -9.5000000e-05 
mode 6  freq  -176.660000
0.000232 -0.000103 -8.9e-05 0.000111 0.00048 0.000246 -9e-05 -0.000249 0.000363 0.000197 0.000492 -8.6e-05 7e-06 0.000301 0.000407 -0.000159 -0.000184 -4.6e-05 -0.000158 -0.000134 -0.000193 -0.000128 -0.000259 0.000344 5.1e-05 -0.000445 -4.1e-05 -0.000118 -7.3e-05 -0.000114 0.0002 -3.1e-05 0.000169 -7.1e-05 -7.1e-05 0.000479 0.000474 0.000158 -2e-05 0.000446 6.6e-05 0.000169 0.000231 0.00012 -0.000113 0.000153 0.000308 -0.000383 3.2e-05 -0.000175 -5.7e-05 0.000111 4.6e-05 0.000232 -5.3e-05 2.1e-05 0.00019 -3.4e-05 -3e-05 0.000163 -2.3e-05 0.0001 0.000185 0.000197 -0.000142 0.000207 0.000303 -0.00039 0.000173 0.000996 -0.000785 -6.7e-05 0.00023 -0.000201 0.000375 0.000851 -0.00046 -0.000609 0.00027 7.7e-05 -0.000633 0.00039 0.000107 0.000832 -0.000384 0.001209 -0.00029 0.000382 0.000341 -0.001112 6.9e-05 -0.00047 0.0005 -4e-05 -0.000145 -0.000446 9.7e-05 0.000137 -0.000524 -0.001478 -0.000396 0.003593 -0.010331 -0.000573 -0.004408 -0.001837 0.001378 -0.015235 -0.017445 -0.005017 0.004273 -0.017599 0.000581 -0.005299 -0.009864 -0.003823 0.002794 0.002435 -0.012298 0.006993 -0.002699 0.003436 -0.00193 1.7e-05 0.000356 -0.000405 -5.4e-05 3.1e-05 -0.000412 0.000544 -0.000508 -0.000724 -2.3e-05 0.000156 -0.000175 3.9e-05 0.000213 -1.3e-05 1.1e-05 0.000228 -0.000112 0.000119 0.000183 -0.000137 5e-06 0.000342 -0.000126 0.038932 -0.009982 -0.043006 0.042891 -0.050328 0.004178 -0.000123 -5e-05 -8e-06 -0.000923 0.00059 0.001133 -0.000834 0.001111 -0.000269 0.000168 -0.000227 0.000582 1.7e-05 0.000184 9.7e-05 -8.2e-05 0.00013 0.000184 0.000188 -6.4e-05 -5.8e-05 0.007659 -0.014155 -0.002748 0.007914 -0.011209 -0.009902 0.001729 -0.000491 -0.000326 0.001129 -0.000599 -0.000212 -0.329587 0.611477 0.191699 -0.316558 0.409873 0.450174 0.003266 -0.001342 -0.000709 0.000653 -6.7e-05 7.7e-05 
  1.1500000e-04   2.5000000e-05   2.9000000e-04 
 -1.0000000e-05  -2.0000000e-05  -1.3500000e-04 
  1.0500000e-04  -6.5000000e-05  -1.1000000e-04 
mode 7  freq  -175.620000
